#id	rank	argument
arg33311	0.01136	I would definately turned them in even if it hurst me. Any person that commits a murder should not get away with it because if they did it once they can do it again so it dangerous to have them out in the enviroment. Also, if i dont turn her in how do i know that later on in life i might be a victim.
arg33253	0.16066	Yes I would. Nobody should get away with murder. Not that I would ever marrie sombody that would muder anyone. But that's beside the point.
arg33304	0.01262	The murders of a person is a crime that cant be overlook, to sleep next to a person who has commited this crime, and you knowing about makes you as much responsible as that persons.
arg33338	0.01355	I would turn them in, because that is just crazy. Why would you ever kill somebody? Whoever would do that shall be punished for their crime, I don't care who you are to me, or what you mean to me I would definitely turn you in. If you help that person you may also go to jail for the crime as well, and I'm not going to jail.
arg33261	0.00750	As an ambitious, young person wanting to become a lawful, successful, homicide detective, I would not be lenient with any murderer in my midst. <br/> Hopefully, the murder wouldn't be the result of a pleasure/malicious-kill, so that the sentencing won't be as harsh, but nonetheless, all murderers must be tried. After all, hopefully my spouse will understand that having to live in hiding is basically the same as being in prison except much worse since there would be little chance for parole since they will have to live with the guilt and/or the fear of being caught for the rest of their lives.
arg33307	0.00976	I would turn him in becasue it is wrong for any reason to kill someone. If he can kill one person what says that he will not kill me? Everyone wants to know what happened to their loved ones and that would give them the peace that the person that did it was paying for what he did. Love is not worth the risk of you getting caught for not telling what you know.
arg33272	0.00877	If my spouse committed murder I would have to turn them in, because I don't think I could go on with life knowing that they've murdered someone. The relationship wouldn't be the same it would change because now you view the person as somebody else, you don't see them as your spouse any more, you just see them as a bad person, and they could be crazy enough to do something to you.
arg33254	0.00877	I put my argument on the side saying "yes" but in reality it really depends in my opinion. If my husband killed someone in self-defense, I'd rather them kill the person than my husband die, but if he just killed someone for no reason I probably would turn him in because love may be strong but it can also be blind. I would not want to be married to a murderer because what if one day he decided to kill me?
arg33345	0.01094	Killing someone is wrong no matter what. If you kill someone then i think you should do the right thing and turn yourself in, instead of waiting and wondering if someone else would turn you in. I know it would be difficult for me to turn in my wife, but they commited a horrible crime and they should pay for it. No one is above the law basicly.
arg33370	0.20692	HECK YES, I would turn her in with the QUICKNESS because if she did something like that then she is a little Crazy, loCo,insane in the brain, and Im not Trying to be her next victim. A murder is a murder and its illegal and not right.
arg33224	0.01269	I would say yes to some circumstances I would say yes but for others it would be a no I will not turn them in. I feel that if my spouse killed a person out of self defense or out of defense for another person then no I wouldn't turn them in. Another circumstance would be if they killed a person for killing someone or something like I that, then no I wouldn't turn them in. If they killed cold heartedly like rape, for money, objects and or just a pure disliking or a person then yes I would turn them in because someone that's that cold could kill me.
arg33366	0.01076	I would turn them in whether it was self-defense or an act of rage. If it was self-defense they would most likely get away with it but if it were an act of rage I would not want to spend the rest of my life with that person. My conscience would eat at me and I could not live knowing that there's a family that is mourning because of my spouse's actions.
arg33339	0.00870	Yes I would be happy and relieved to turn my spouse in for murder. Killing someone is the one number one crime in this world. I don't want to stay married to a crazy woman who commits murder. I wouldn't feel safe if we have children in the house or sleeping next to her. I wouldn't be able to sleep or think right for months, maybe years.
arg33348	0.01344	Yes, I would turn my spouse in. Who is to say that if they killed once that they wont kill again. Who is to say that you aren't there next target. If they were to ever become paranoid about being caught they might just blow out your brains because paranoia makes you do crazy things. It would be hard to turn them in because you have a deep connection with your spouse but it's something you have to do for your own safety.
arg33312	0.01473	Well I understand some people are crazy in love, but for me that would be to crazy. Taking another persons life is never the solution or acceptable. Who knows if her next move is not towards me, who knows? If she was crazy enough to do it once, she is crazy enough to do it again.
arg33230	0.03441	I say yes i would because no matter what nothing should make you kill any one, How are you going to kill someone and say it was a mistake.thats not right I dont care what nobody say if it was a mistake or what.
arg33367	0.01404	I would say yes to that because my wife would be a murderer. A murderer as a spouse is not the happiest life you can bring upon your self, knowing that everyday you would have so much stress about when the cops might break in and take you for affiliating with a crime scene or even if your own life is in danger. So from these reasons I would turn my spouse in.
arg33223	0.00919	I would turn my spouse in if they told me they committed murder. Weather it was by accident or on purpose. If it was an accident than the police will figure that out. For example, what if my spouse murdered your spouse. Wouldn't you want to know who killed him/her? I would, I wouldn't allow my self to rest until I knew. Sometimes in life their is more to worry about than yourself.
arg33293	0.13238	i would turn in my wife because its wrong to kill someone. it could have been an accident but it was still wrong and besides the police are going to find out who killed that person but i don't want her to leave me for a long period of time so i would tell but then again i wouldn't.
arg33342	0.01231	I would have to say yes. She committed murder, a thing that can get you in major trouble, even if you're an accompalice. I don't care what the reason was, it could have been accidental, there could have been someone trying to attack her, or whatever, she killed someone. The second she tells me, I wil call the police, just in case she either goes on another killing spree or decides to kill me
arg33303	0.01007	Even though people make mistakes, a murder is always commited with the best of intentions to kill. It can't possibly be a mistake if I stab some one in the leg with a sharp object, and say that it wasn't my intention to make him bleed. <br/> My point is that I wouldn't want to live under the same roof with a woman that could possibly be schizophrenic.
arg33269	0.03404	It all depends on the severity of the kill. Ofcourse I would be empathetic towards my husband and want him free, but if I knew it was a malicious deed instead of self defense, or to defend his family or belongings I would probably leave and want nothong to do with it.
arg33284	0.00773	In this situation it depends whether you knew the victim or if it was a stranger. If my husband killed a random stranger, then YES I would definitely turn him in because that considers him a psycho and what if he kills me too. But if he killed a person that I knew and that was harming us then I would think about it. It's most likely that I would turn him in just because I would be afraid to leave with a person like that, and also what if he thinks I will say something and kills me too.
arg33349	0.03151	I would turn my spouse in if they committed murder. I would not want my wife to turn on me and kill me. If I found out that she had killed someone I would be gone. You can't love a person if they are not the person that you fell in love with. And I wouldn't fall in love with a murderer.
arg33323	0.01338	Murder under any circumstance is not right. A person who commits the act knows the consequences, and they know that they are guilty. I wouldn't be able to look at my spouse the same ever again. I would not be able to live with the secret of a murder. <br/> So yea, i would turn them in.
arg33318	0.01863	Im all about the no snitching saying but when it comes to murder thats when the line is drawn. Yea at first I probably wouldn't do anything about it. Then I think about there is few reasons why someone would be drove to kill but I don't think the act should be committed. In saying that i would turn my wife in if she ever killed somebody.
