#id	label	a1	a2
arg168808_arg168823	a2	Crimes like robbing and fighting often occurred. Farquhar set up a small police force.	Farquhar won the affection and respect from the people with his doings. When he was sacked, thousands of people bade him farewell on the day he left Singapore. This proves that Farquhar is very important to the people.
arg168776_arg168806	a1	Farquar protected Singapore from Dutch attacks and attracted traders to Singapore while Raffles was away.	There were a lot of pests at that time, and the people were suffering from them. Raffles wasn't around, and William had to think of a solution himself.
arg168808_arg168767	a2	Crimes like robbing and fighting often occurred. Farquhar set up a small police force.	Farquhar was the one to take charge of the new settlement and keep it running against all odds after British presence was introduced, as Raffles had to return to Bencoolen.
arg167722_arg168768	a2	Farquhar did all the ground work to improve Singapore but Raffles only dreamt about what to do.	It is clear that Stamford Raffles was the basis for the idea but the implementation was left to Farquhar so i believe he is the rightful founder of Singapore. Raffles was just the 'idea man' before the founding but was summoned to Bencoolen by his superiors and did not have much contribution to the founding of Singapore.
arg168806_arg168780	a2	There were a lot of pests at that time, and the people were suffering from them. Raffles wasn't around, and William had to think of a solution himself.	Faruhar carried out the 'grand plan' of Raffles'. Raffles practically just sat there and watched it all go, not even lifting a finger to help. It doesn't matter if Raffles was the head of the so-called operation, Farquhar was the one to DEVELOP Singapore to what it is today.
arg168767_arg168793	a1	Farquhar was the one to take charge of the new settlement and keep it running against all odds after British presence was introduced, as Raffles had to return to Bencoolen.	Even though William had legalized gambling, he did it so that Singapore can prosper, but Raffles had turned it down, leaving Singapore alone.
arg168793_arg168766	a2	Even though William had legalized gambling, he did it so that Singapore can prosper, but Raffles had turned it down, leaving Singapore alone.	William Farquhar was sacked. Despite his many positive achievements in the formative period of Singapore's development, he adopted measures in his administration which conflicted with Raffles' instructions, so a lot of people would just ignore Farquhar's contribution and credit them to Raffles
arg168804_arg168808	a1	Faquhar solved the problems in Singapore using cash from his own pocket. When Singapore was once infested with rats and centipedes, Farquhar rewarded the people with coins for every pest they catch. This solved the problem quickly, as he held to his promise.	Crimes like robbing and fighting often occurred. Farquhar set up a small police force.
arg168786_arg168792	a2	When Farquar was fired by Raffles, he was given a grander ceremony before he left compared to Raffles, which show how much the people loved him.	Farquar dealt with every day problems during the early years of Singapore.He also attempted to know the people and understood malay, whereas Raffles hardly communicated with the people.
arg168818_arg168805	a1	To me, a founder would be a leader, well respected by the organisation/group he is managing. Both Raffles and Farquhar were good leaders. However, when William Farquhar was sent off to Britain, more people went to send him off than the combined number of people that sent Raffles off during the three times Raffles left Singapore. This shows that the people of Singapore respected Farquhar more than Raffles, and to them, Farquhar was a more competent leader.	Farquar weeded out many problems, such as the rat and centipede infestation. It took only a few days for Farquar to finish destroying the infestation, whereas Raffles did not do anything about the problem at all.
arg168777_arg168804	a2	He invited the immigrants from Malacca to come and trade and stationed an office at St. John's Island to inform the trading ships passing by about the settlement in Singapore.	Faquhar solved the problems in Singapore using cash from his own pocket. When Singapore was once infested with rats and centipedes, Farquhar rewarded the people with coins for every pest they catch. This solved the problem quickly, as he held to his promise.
arg168831_arg168832	a2	Even though Raffles did all the so-called planning, Farquhar did make some plans of his own, too, since Raffles had to leave for Bencoolen. This means that Farquhar had to plan on his own, too.	The people recognized William Farquhar as the founder because he was there to deal with the country's problems when Raffles failed to be there for them. William Farquhar even took money out of his own pockets to resolve certain issues. When he was forced to leave, the people sent him off with sorrow in their hearts.
arg168804_arg167722	a1	Faquhar solved the problems in Singapore using cash from his own pocket. When Singapore was once infested with rats and centipedes, Farquhar rewarded the people with coins for every pest they catch. This solved the problem quickly, as he held to his promise.	Farquhar did all the ground work to improve Singapore but Raffles only dreamt about what to do.
