#id	label	a1	a2
arg33226_arg33373	a1	I wouldnt turn her in becuase she is my wife. She made a mistake that we can get over it. If she trusted me by telling me what she did then I couldn't do that to her.	I really dont have an exact yes or no answer to this question depending on the situation. If It really got all out of hand and the police new it was my man that did it and they got all the evidence and witnesses that prove it was him that convicted the crime then yes I would turn him in. If they know its him then its just a matter of time.
arg33373_arg33346	a2	I really dont have an exact yes or no answer to this question depending on the situation. If It really got all out of hand and the police new it was my man that did it and they got all the evidence and witnesses that prove it was him that convicted the crime then yes I would turn him in. If they know its him then its just a matter of time.	No. I would not turn my spouse in. I would try to convince him to do the right thing and turn his own self in. But i dont see it as my place to go and turn him in. but it also depends on the reason behind him killing someone. it just cant be some random killing because i would turn him in for that for the fact that i would think that i would be next to get killed.
arg33346_arg33259	a1	No. I would not turn my spouse in. I would try to convince him to do the right thing and turn his own self in. But i dont see it as my place to go and turn him in. but it also depends on the reason behind him killing someone. it just cant be some random killing because i would turn him in for that for the fact that i would think that i would be next to get killed.	All I want to say to the spouses of the people on this side of the debate, "Don't confide in your spouse and tell them that you killed somebody; they'll turn you in! And if they find out on their own, take them out before they turn you in!" ;)
arg33328_arg33352	a2	Well it all pretty much depends....Like if she killed someone that deserved it well it would still be scary to sleep with them so this a maybe / maybe not situation... So yeah im not to sure	If my husband committed murder I wouldn't turn them in because I know he must have had a good reason to do it. Everybody makes mistakes in this world and this would be a wrong decision he took. I love him and I feel that in love we should be by your partner throught the thick and thin no matter what. I wouldn't want my husband to be in jail.
arg33285_arg33358	a1	No I wouldn't turn in my spouse. Just because the girl that i married killed someone doesn't make them a terrible person. People make mistakes.	No way, <br/> That's even better than a prenup :) <br/> her: "I'm leaving you and taking half your shit." <br/> me: "Hope you like prison b*^#h"
arg33358_arg33341	a2	No way, <br/> That's even better than a prenup :) <br/> her: "I'm leaving you and taking half your shit." <br/> me: "Hope you like prison b*^#h"	If my spouse committed murder I would not turn him in. I would do the exact opposite I will help him hide all evidence if any, I will move if we had to, and I will never bring it up to his attention again. If my husband killed someone, he knew what he was doing, so there or it was for a cost. It would be hard for me to turn in the one I love.
arg33279_arg33328	a1	It really depends on what had happened, she would have to tell me the story and I would have to be able to sympathize with her and understand why she did what she did. If I truly felt that she was remorseful for what she did and I can sympathize with her about why she committed murder than maybe I could forgive her and not turn her in.	Well it all pretty much depends....Like if she killed someone that deserved it well it would still be scary to sleep with them so this a maybe / maybe not situation... So yeah im not to sure
arg33285_arg33259	a1	No I wouldn't turn in my spouse. Just because the girl that i married killed someone doesn't make them a terrible person. People make mistakes.	All I want to say to the spouses of the people on this side of the debate, "Don't confide in your spouse and tell them that you killed somebody; they'll turn you in! And if they find out on their own, take them out before they turn you in!" ;)
arg33233_arg33358	a1	If my wife confided in me than I wouldn't betray her trust. She trusted me to support and help her and I would. I would be extremely angry and maybe even divorce her depending on what type of murder whether it be like a self defence murder or she just thought it would be fun.	No way, <br/> That's even better than a prenup :) <br/> her: "I'm leaving you and taking half your shit." <br/> me: "Hope you like prison b*^#h"
arg33353_arg33262	a2	No, I wouldn't turn my spouse in I would just be like. You told me I had know part in it. And we are just going to go our separate ways. But truthfully I wouldn't want to know in the first place.	Of course not! Absolutely not! Its something that happened, a mistake she made, and something she would definitely learn from. She was strong enough to tell me about it, something not a lot of people of would done. I'm pretty sure that's not easy for someone to do. Anyone else would of just kept to themselves and not tell anyone. If that were to ever happen, which I strongly doubt, I would definitely support her and be with her, no matter what!
