#id	label	a1	a2
arg334884_arg334932	a1	I believe so, it should be used as a last resort at least because I being a sibling of three, was spanked along with my sister and turned out to be disciplined and on the other hand our youngest sister has never been spanked and she tends to make more mistakes even now that shes 10 than we did.	Yes, because 1 getting hit helps you be stronger and grow up and 2 it makes you listen , it's not ABUSE it's getting spanked.
arg335124_arg334886	a2	Sometimes that's what a kid needs to behave all those Nos, stops, don't do that, just don't work sometimes.	Yes, because then they wont do what they did in fear of getting spanked again. Since they will know the consequence. Although, there is also a line a parent shouldn't cross such as the appropriate spanking and abuse line.
arg335285_arg334893	a2	spanking is your decision kids can be bad but use it as a last resort	Yes , because if they are afraid of getting spanked then they won't do it again . The parent should only spank them and not go over board and keep hitting them .
arg334967_arg335098	a2	I think spanking should be an option. Although I believe it should be an option, I believe it should be a last option.	I support this because... I got spanked and I turned out to be a good daughter ..spanking teaches you not to do it again and be scared of doing it again.
arg336199_arg335054	a2	I agree but it has to be used as the last source and not used constantly and of course not to hard.	I have been spanked once in a while for worse deeds. I think it did more good than harm to be honest. It's like touching fire to be honest, but a lot of it depends on parents and kids. It may do its job it may not, but abuse is never good.
arg335092_arg336043	a2	I think you should hit you kids because if they did something really bad like crash your car or steal you need to hit them so they know that they should not be doing that.	I think spanking should be used if it will teach thee child in the long run but each child responds differently to different punishments while one child just telling them no or grounding them will work on another child it may take a spanking to teach them right and wrong.
arg334884_arg336176	a1	I believe so, it should be used as a last resort at least because I being a sibling of three, was spanked along with my sister and turned out to be disciplined and on the other hand our youngest sister has never been spanked and she tends to make more mistakes even now that shes 10 than we did.	Yes so they can give the kids a reason not to do it again.
arg334921_arg335134	a1	After I was spanked, I never did the same thing twice.. So therefore I would spank my kids, out of love, and on the butt.	I believe spanking is a good option to punish a child if nothing else works
arg335089_arg334964	a2	yes because if they fear getting hit than they wont do it again	I agree because they must understand they where wrong. For their actions, they will receive consequences, and from that they will learn to not do it again.
arg334884_arg334967	a1	I believe so, it should be used as a last resort at least because I being a sibling of three, was spanked along with my sister and turned out to be disciplined and on the other hand our youngest sister has never been spanked and she tends to make more mistakes even now that shes 10 than we did.	I think spanking should be an option. Although I believe it should be an option, I believe it should be a last option.
arg336563_arg335285	a1	Yes because that way the child can learn not to do it again because it really hurt, and i know this from experience.	spanking is your decision kids can be bad but use it as a last resort
arg335089_arg334919	a2	yes because if they fear getting hit than they wont do it again	spanking can be sometimes good for the child to understand but not to the point where you can hurt and should not be used repeatedly
arg335097_arg335285	a1	In my opinion, I strongly agree that parents should use spanking as an option to discipline their children because the spankings are painful enough for children to learn to avoid doing the wrong things.	spanking is your decision kids can be bad but use it as a last resort
arg334921_arg334922	a1	After I was spanked, I never did the same thing twice.. So therefore I would spank my kids, out of love, and on the butt.	I say yes because children are getting more and more violent and they need to get discipline if they decide to act up.
arg335034_arg336222	a2	Yes, because they need to learn in a way that they remember that if they do something bad. They will get hit.	Humans have been raised for thousands of years with not near as much resentment towards spanking and today's kids are the unruliest there are... <br/> There's a trend... <br/> (I do admit it's not purely spanking that's the cause but it's a small part of the bigger picture)
arg335047_arg334922	a1	Parents should use spanking as an option to discipline only when it's needed. If the child doesn't follow the correct behavior that they should follow after several times being warned, then that is when the child deserves a spanking.	I say yes because children are getting more and more violent and they need to get discipline if they decide to act up.
arg335097_arg336199	a1	In my opinion, I strongly agree that parents should use spanking as an option to discipline their children because the spankings are painful enough for children to learn to avoid doing the wrong things.	I agree but it has to be used as the last source and not used constantly and of course not to hard.
arg336043_arg334932	a1	I think spanking should be used if it will teach thee child in the long run but each child responds differently to different punishments while one child just telling them no or grounding them will work on another child it may take a spanking to teach them right and wrong.	Yes, because 1 getting hit helps you be stronger and grow up and 2 it makes you listen , it's not ABUSE it's getting spanked.
arg334938_arg335285	a1	After a spanking I made sure I never did it again to avoid being punished because the second time is always worst because you were told not to already.	spanking is your decision kids can be bad but use it as a last resort
arg334973_arg336171	a2	Yes, parents should use spanking as an option to discipline their children, but it should be the last option.	I believe that spanking you child because it shows then that what they did was wrong and if they dont want the feeling of a but woppen then they wont make the same mistake twice.
arg334964_arg334919	a1	I agree because they must understand they where wrong. For their actions, they will receive consequences, and from that they will learn to not do it again.	spanking can be sometimes good for the child to understand but not to the point where you can hurt and should not be used repeatedly
arg336043_arg335034	a1	I think spanking should be used if it will teach thee child in the long run but each child responds differently to different punishments while one child just telling them no or grounding them will work on another child it may take a spanking to teach them right and wrong.	Yes, because they need to learn in a way that they remember that if they do something bad. They will get hit.
arg334959_arg336171	a1	yea, because even though there are many other different ways to discipline kids, sometimes it won't work so they need a little spank, just to make them learn they were wrong. don't always be spanking them for no reason, that's bad	I believe that spanking you child because it shows then that what they did was wrong and if they dont want the feeling of a but woppen then they wont make the same mistake twice.
arg336176_arg334924	a2	Yes so they can give the kids a reason not to do it again.	because depending on the punishment you give a child it doesn't always work, some kids need need that. because just sitting them in punishment its a possibility they will do it again.
arg335092_arg334884	a2	I think you should hit you kids because if they did something really bad like crash your car or steal you need to hit them so they know that they should not be doing that.	I believe so, it should be used as a last resort at least because I being a sibling of three, was spanked along with my sister and turned out to be disciplined and on the other hand our youngest sister has never been spanked and she tends to make more mistakes even now that shes 10 than we did.
arg335134_arg335054	a2	I believe spanking is a good option to punish a child if nothing else works	I have been spanked once in a while for worse deeds. I think it did more good than harm to be honest. It's like touching fire to be honest, but a lot of it depends on parents and kids. It may do its job it may not, but abuse is never good.
arg336043_arg336176	a1	I think spanking should be used if it will teach thee child in the long run but each child responds differently to different punishments while one child just telling them no or grounding them will work on another child it may take a spanking to teach them right and wrong.	Yes so they can give the kids a reason not to do it again.
arg335285_arg334923	a2	spanking is your decision kids can be bad but use it as a last resort	I think that children should get spanked once in a while. I got spanked when I was little but I could definitely say that I did learn lessons. Don't spank your kids though with whatever you find, you don't want to kill them !!
arg335054_arg335285	a1	I have been spanked once in a while for worse deeds. I think it did more good than harm to be honest. It's like touching fire to be honest, but a lot of it depends on parents and kids. It may do its job it may not, but abuse is never good.	spanking is your decision kids can be bad but use it as a last resort
arg335090_arg335034	a1	Yes I believe you should spank a child only when they know they are wrong. The child will understand more if he is scared to do the same mistake. Actions speak louder than words.	Yes, because they need to learn in a way that they remember that if they do something bad. They will get hit.
arg334967_arg334923	a2	I think spanking should be an option. Although I believe it should be an option, I believe it should be a last option.	I think that children should get spanked once in a while. I got spanked when I was little but I could definitely say that I did learn lessons. Don't spank your kids though with whatever you find, you don't want to kill them !!
arg334964_arg335285	a1	I agree because they must understand they where wrong. For their actions, they will receive consequences, and from that they will learn to not do it again.	spanking is your decision kids can be bad but use it as a last resort
arg335034_arg334898	a2	Yes, because they need to learn in a way that they remember that if they do something bad. They will get hit.	I think parents should use spanking as an option to discipline but there is also a limit for everything so they shouldn't use it every time the kids do something wrong.
arg335090_arg334973	a1	Yes I believe you should spank a child only when they know they are wrong. The child will understand more if he is scared to do the same mistake. Actions speak louder than words.	Yes, parents should use spanking as an option to discipline their children, but it should be the last option.
arg335090_arg334920	a1	Yes I believe you should spank a child only when they know they are wrong. The child will understand more if he is scared to do the same mistake. Actions speak louder than words.	It shouldn't be used constantly but it should be used to get the message across to the child
arg334886_arg335285	a1	Yes, because then they wont do what they did in fear of getting spanked again. Since they will know the consequence. Although, there is also a line a parent shouldn't cross such as the appropriate spanking and abuse line.	spanking is your decision kids can be bad but use it as a last resort
arg336176_arg334893	a2	Yes so they can give the kids a reason not to do it again.	Yes , because if they are afraid of getting spanked then they won't do it again . The parent should only spank them and not go over board and keep hitting them .
arg334922_arg335089	a1	I say yes because children are getting more and more violent and they need to get discipline if they decide to act up.	yes because if they fear getting hit than they wont do it again
arg336563_arg334924	a1	Yes because that way the child can learn not to do it again because it really hurt, and i know this from experience.	because depending on the punishment you give a child it doesn't always work, some kids need need that. because just sitting them in punishment its a possibility they will do it again.
arg334886_arg335092	a1	Yes, because then they wont do what they did in fear of getting spanked again. Since they will know the consequence. Although, there is also a line a parent shouldn't cross such as the appropriate spanking and abuse line.	I think you should hit you kids because if they did something really bad like crash your car or steal you need to hit them so they know that they should not be doing that.
arg335092_arg334959	a2	I think you should hit you kids because if they did something really bad like crash your car or steal you need to hit them so they know that they should not be doing that.	yea, because even though there are many other different ways to discipline kids, sometimes it won't work so they need a little spank, just to make them learn they were wrong. don't always be spanking them for no reason, that's bad
arg335097_arg335124	a1	In my opinion, I strongly agree that parents should use spanking as an option to discipline their children because the spankings are painful enough for children to learn to avoid doing the wrong things.	Sometimes that's what a kid needs to behave all those Nos, stops, don't do that, just don't work sometimes.
arg336043_arg335089	a1	I think spanking should be used if it will teach thee child in the long run but each child responds differently to different punishments while one child just telling them no or grounding them will work on another child it may take a spanking to teach them right and wrong.	yes because if they fear getting hit than they wont do it again
arg335094_arg334959	a2	It's ok for the parent to spank the child as long as it's not often or they don't use other things like a belt.	yea, because even though there are many other different ways to discipline kids, sometimes it won't work so they need a little spank, just to make them learn they were wrong. don't always be spanking them for no reason, that's bad
arg334973_arg335097	a2	Yes, parents should use spanking as an option to discipline their children, but it should be the last option.	In my opinion, I strongly agree that parents should use spanking as an option to discipline their children because the spankings are painful enough for children to learn to avoid doing the wrong things.
arg336043_arg335285	a1	I think spanking should be used if it will teach thee child in the long run but each child responds differently to different punishments while one child just telling them no or grounding them will work on another child it may take a spanking to teach them right and wrong.	spanking is your decision kids can be bad but use it as a last resort
arg334932_arg336222	a2	Yes, because 1 getting hit helps you be stronger and grow up and 2 it makes you listen , it's not ABUSE it's getting spanked.	Humans have been raised for thousands of years with not near as much resentment towards spanking and today's kids are the unruliest there are... <br/> There's a trend... <br/> (I do admit it's not purely spanking that's the cause but it's a small part of the bigger picture)
arg335090_arg334919	a1	Yes I believe you should spank a child only when they know they are wrong. The child will understand more if he is scared to do the same mistake. Actions speak louder than words.	spanking can be sometimes good for the child to understand but not to the point where you can hurt and should not be used repeatedly
arg336171_arg334967	a1	I believe that spanking you child because it shows then that what they did was wrong and if they dont want the feeling of a but woppen then they wont make the same mistake twice.	I think spanking should be an option. Although I believe it should be an option, I believe it should be a last option.
arg334924_arg334921	a2	because depending on the punishment you give a child it doesn't always work, some kids need need that. because just sitting them in punishment its a possibility they will do it again.	After I was spanked, I never did the same thing twice.. So therefore I would spank my kids, out of love, and on the butt.
arg335134_arg335047	a2	I believe spanking is a good option to punish a child if nothing else works	Parents should use spanking as an option to discipline only when it's needed. If the child doesn't follow the correct behavior that they should follow after several times being warned, then that is when the child deserves a spanking.
arg336199_arg335090	a2	I agree but it has to be used as the last source and not used constantly and of course not to hard.	Yes I believe you should spank a child only when they know they are wrong. The child will understand more if he is scared to do the same mistake. Actions speak louder than words.
arg334886_arg336199	a1	Yes, because then they wont do what they did in fear of getting spanked again. Since they will know the consequence. Although, there is also a line a parent shouldn't cross such as the appropriate spanking and abuse line.	I agree but it has to be used as the last source and not used constantly and of course not to hard.
arg334921_arg334932	a1	After I was spanked, I never did the same thing twice.. So therefore I would spank my kids, out of love, and on the butt.	Yes, because 1 getting hit helps you be stronger and grow up and 2 it makes you listen , it's not ABUSE it's getting spanked.
arg336563_arg335054	a2	Yes because that way the child can learn not to do it again because it really hurt, and i know this from experience.	I have been spanked once in a while for worse deeds. I think it did more good than harm to be honest. It's like touching fire to be honest, but a lot of it depends on parents and kids. It may do its job it may not, but abuse is never good.
arg336171_arg335098	a2	I believe that spanking you child because it shows then that what they did was wrong and if they dont want the feeling of a but woppen then they wont make the same mistake twice.	I support this because... I got spanked and I turned out to be a good daughter ..spanking teaches you not to do it again and be scared of doing it again.
arg335047_arg335094	a1	Parents should use spanking as an option to discipline only when it's needed. If the child doesn't follow the correct behavior that they should follow after several times being warned, then that is when the child deserves a spanking.	It's ok for the parent to spank the child as long as it's not often or they don't use other things like a belt.
arg335092_arg334922	a2	I think you should hit you kids because if they did something really bad like crash your car or steal you need to hit them so they know that they should not be doing that.	I say yes because children are getting more and more violent and they need to get discipline if they decide to act up.
arg336563_arg336171	a1	Yes because that way the child can learn not to do it again because it really hurt, and i know this from experience.	I believe that spanking you child because it shows then that what they did was wrong and if they dont want the feeling of a but woppen then they wont make the same mistake twice.
arg335047_arg336563	a1	Parents should use spanking as an option to discipline only when it's needed. If the child doesn't follow the correct behavior that they should follow after several times being warned, then that is when the child deserves a spanking.	Yes because that way the child can learn not to do it again because it really hurt, and i know this from experience.
arg336176_arg334932	a2	Yes so they can give the kids a reason not to do it again.	Yes, because 1 getting hit helps you be stronger and grow up and 2 it makes you listen , it's not ABUSE it's getting spanked.
arg335047_arg336176	a1	Parents should use spanking as an option to discipline only when it's needed. If the child doesn't follow the correct behavior that they should follow after several times being warned, then that is when the child deserves a spanking.	Yes so they can give the kids a reason not to do it again.
arg334967_arg336043	a2	I think spanking should be an option. Although I believe it should be an option, I believe it should be a last option.	I think spanking should be used if it will teach thee child in the long run but each child responds differently to different punishments while one child just telling them no or grounding them will work on another child it may take a spanking to teach them right and wrong.
arg335134_arg334886	a2	I believe spanking is a good option to punish a child if nothing else works	Yes, because then they wont do what they did in fear of getting spanked again. Since they will know the consequence. Although, there is also a line a parent shouldn't cross such as the appropriate spanking and abuse line.
arg334893_arg336222	a2	Yes , because if they are afraid of getting spanked then they won't do it again . The parent should only spank them and not go over board and keep hitting them .	Humans have been raised for thousands of years with not near as much resentment towards spanking and today's kids are the unruliest there are... <br/> There's a trend... <br/> (I do admit it's not purely spanking that's the cause but it's a small part of the bigger picture)
arg334919_arg335285	a1	spanking can be sometimes good for the child to understand but not to the point where you can hurt and should not be used repeatedly	spanking is your decision kids can be bad but use it as a last resort
arg336043_arg334893	a1	I think spanking should be used if it will teach thee child in the long run but each child responds differently to different punishments while one child just telling them no or grounding them will work on another child it may take a spanking to teach them right and wrong.	Yes , because if they are afraid of getting spanked then they won't do it again . The parent should only spank them and not go over board and keep hitting them .
arg336176_arg335098	a2	Yes so they can give the kids a reason not to do it again.	I support this because... I got spanked and I turned out to be a good daughter ..spanking teaches you not to do it again and be scared of doing it again.
arg334920_arg336043	a2	It shouldn't be used constantly but it should be used to get the message across to the child	I think spanking should be used if it will teach thee child in the long run but each child responds differently to different punishments while one child just telling them no or grounding them will work on another child it may take a spanking to teach them right and wrong.
arg334967_arg335090	a2	I think spanking should be an option. Although I believe it should be an option, I believe it should be a last option.	Yes I believe you should spank a child only when they know they are wrong. The child will understand more if he is scared to do the same mistake. Actions speak louder than words.
arg334972_arg336199	a1	I believe some parents should spank their kids but only when nessasary because sometimes thats the only way some kids will learn the correct way and listen.	I agree but it has to be used as the last source and not used constantly and of course not to hard.
arg335285_arg334921	a2	spanking is your decision kids can be bad but use it as a last resort	After I was spanked, I never did the same thing twice.. So therefore I would spank my kids, out of love, and on the butt.
arg334973_arg335285	a1	Yes, parents should use spanking as an option to discipline their children, but it should be the last option.	spanking is your decision kids can be bad but use it as a last resort
arg334959_arg334967	a1	yea, because even though there are many other different ways to discipline kids, sometimes it won't work so they need a little spank, just to make them learn they were wrong. don't always be spanking them for no reason, that's bad	I think spanking should be an option. Although I believe it should be an option, I believe it should be a last option.
arg334938_arg335089	a1	After a spanking I made sure I never did it again to avoid being punished because the second time is always worst because you were told not to already.	yes because if they fear getting hit than they wont do it again
arg336563_arg336043	a2	Yes because that way the child can learn not to do it again because it really hurt, and i know this from experience.	I think spanking should be used if it will teach thee child in the long run but each child responds differently to different punishments while one child just telling them no or grounding them will work on another child it may take a spanking to teach them right and wrong.
arg335134_arg335034	a2	I believe spanking is a good option to punish a child if nothing else works	Yes, because they need to learn in a way that they remember that if they do something bad. They will get hit.
arg334884_arg334924	a1	I believe so, it should be used as a last resort at least because I being a sibling of three, was spanked along with my sister and turned out to be disciplined and on the other hand our youngest sister has never been spanked and she tends to make more mistakes even now that shes 10 than we did.	because depending on the punishment you give a child it doesn't always work, some kids need need that. because just sitting them in punishment its a possibility they will do it again.
arg335047_arg335285	a1	Parents should use spanking as an option to discipline only when it's needed. If the child doesn't follow the correct behavior that they should follow after several times being warned, then that is when the child deserves a spanking.	spanking is your decision kids can be bad but use it as a last resort
arg335094_arg335034	a1	It's ok for the parent to spank the child as long as it's not often or they don't use other things like a belt.	Yes, because they need to learn in a way that they remember that if they do something bad. They will get hit.
arg335098_arg334922	a1	I support this because... I got spanked and I turned out to be a good daughter ..spanking teaches you not to do it again and be scared of doing it again.	I say yes because children are getting more and more violent and they need to get discipline if they decide to act up.
arg335089_arg334921	a2	yes because if they fear getting hit than they wont do it again	After I was spanked, I never did the same thing twice.. So therefore I would spank my kids, out of love, and on the butt.
arg334886_arg334973	a1	Yes, because then they wont do what they did in fear of getting spanked again. Since they will know the consequence. Although, there is also a line a parent shouldn't cross such as the appropriate spanking and abuse line.	Yes, parents should use spanking as an option to discipline their children, but it should be the last option.
arg336563_arg334884	a2	Yes because that way the child can learn not to do it again because it really hurt, and i know this from experience.	I believe so, it should be used as a last resort at least because I being a sibling of three, was spanked along with my sister and turned out to be disciplined and on the other hand our youngest sister has never been spanked and she tends to make more mistakes even now that shes 10 than we did.
arg335097_arg334932	a1	In my opinion, I strongly agree that parents should use spanking as an option to discipline their children because the spankings are painful enough for children to learn to avoid doing the wrong things.	Yes, because 1 getting hit helps you be stronger and grow up and 2 it makes you listen , it's not ABUSE it's getting spanked.
arg335098_arg336199	a1	I support this because... I got spanked and I turned out to be a good daughter ..spanking teaches you not to do it again and be scared of doing it again.	I agree but it has to be used as the last source and not used constantly and of course not to hard.
arg335034_arg336199	a1	Yes, because they need to learn in a way that they remember that if they do something bad. They will get hit.	I agree but it has to be used as the last source and not used constantly and of course not to hard.
arg335089_arg335054	a2	yes because if they fear getting hit than they wont do it again	I have been spanked once in a while for worse deeds. I think it did more good than harm to be honest. It's like touching fire to be honest, but a lot of it depends on parents and kids. It may do its job it may not, but abuse is never good.
arg335098_arg334920	a1	I support this because... I got spanked and I turned out to be a good daughter ..spanking teaches you not to do it again and be scared of doing it again.	It shouldn't be used constantly but it should be used to get the message across to the child
arg335034_arg335285	a1	Yes, because they need to learn in a way that they remember that if they do something bad. They will get hit.	spanking is your decision kids can be bad but use it as a last resort
arg334924_arg334973	a2	because depending on the punishment you give a child it doesn't always work, some kids need need that. because just sitting them in punishment its a possibility they will do it again.	Yes, parents should use spanking as an option to discipline their children, but it should be the last option.
arg336199_arg334893	a2	I agree but it has to be used as the last source and not used constantly and of course not to hard.	Yes , because if they are afraid of getting spanked then they won't do it again . The parent should only spank them and not go over board and keep hitting them .
arg335124_arg335098	a2	Sometimes that's what a kid needs to behave all those Nos, stops, don't do that, just don't work sometimes.	I support this because... I got spanked and I turned out to be a good daughter ..spanking teaches you not to do it again and be scared of doing it again.
arg334964_arg334924	a1	I agree because they must understand they where wrong. For their actions, they will receive consequences, and from that they will learn to not do it again.	because depending on the punishment you give a child it doesn't always work, some kids need need that. because just sitting them in punishment its a possibility they will do it again.
arg334898_arg335054	a2	I think parents should use spanking as an option to discipline but there is also a limit for everything so they shouldn't use it every time the kids do something wrong.	I have been spanked once in a while for worse deeds. I think it did more good than harm to be honest. It's like touching fire to be honest, but a lot of it depends on parents and kids. It may do its job it may not, but abuse is never good.
arg334973_arg336563	a2	Yes, parents should use spanking as an option to discipline their children, but it should be the last option.	Yes because that way the child can learn not to do it again because it really hurt, and i know this from experience.
arg335134_arg335098	a2	I believe spanking is a good option to punish a child if nothing else works	I support this because... I got spanked and I turned out to be a good daughter ..spanking teaches you not to do it again and be scared of doing it again.
arg334893_arg334884	a2	Yes , because if they are afraid of getting spanked then they won't do it again . The parent should only spank them and not go over board and keep hitting them .	I believe so, it should be used as a last resort at least because I being a sibling of three, was spanked along with my sister and turned out to be disciplined and on the other hand our youngest sister has never been spanked and she tends to make more mistakes even now that shes 10 than we did.
arg336563_arg334923	a2	Yes because that way the child can learn not to do it again because it really hurt, and i know this from experience.	I think that children should get spanked once in a while. I got spanked when I was little but I could definitely say that I did learn lessons. Don't spank your kids though with whatever you find, you don't want to kill them !!
arg334922_arg334886	a2	I say yes because children are getting more and more violent and they need to get discipline if they decide to act up.	Yes, because then they wont do what they did in fear of getting spanked again. Since they will know the consequence. Although, there is also a line a parent shouldn't cross such as the appropriate spanking and abuse line.
arg334884_arg335089	a1	I believe so, it should be used as a last resort at least because I being a sibling of three, was spanked along with my sister and turned out to be disciplined and on the other hand our youngest sister has never been spanked and she tends to make more mistakes even now that shes 10 than we did.	yes because if they fear getting hit than they wont do it again
arg334886_arg334932	a1	Yes, because then they wont do what they did in fear of getting spanked again. Since they will know the consequence. Although, there is also a line a parent shouldn't cross such as the appropriate spanking and abuse line.	Yes, because 1 getting hit helps you be stronger and grow up and 2 it makes you listen , it's not ABUSE it's getting spanked.
arg335054_arg334893	a1	I have been spanked once in a while for worse deeds. I think it did more good than harm to be honest. It's like touching fire to be honest, but a lot of it depends on parents and kids. It may do its job it may not, but abuse is never good.	Yes , because if they are afraid of getting spanked then they won't do it again . The parent should only spank them and not go over board and keep hitting them .
arg335090_arg336176	a1	Yes I believe you should spank a child only when they know they are wrong. The child will understand more if he is scared to do the same mistake. Actions speak louder than words.	Yes so they can give the kids a reason not to do it again.
arg336176_arg334923	a2	Yes so they can give the kids a reason not to do it again.	I think that children should get spanked once in a while. I got spanked when I was little but I could definitely say that I did learn lessons. Don't spank your kids though with whatever you find, you don't want to kill them !!
arg334972_arg334938	a2	I believe some parents should spank their kids but only when nessasary because sometimes thats the only way some kids will learn the correct way and listen.	After a spanking I made sure I never did it again to avoid being punished because the second time is always worst because you were told not to already.
